Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2000;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2000;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2000;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2000;Total nacimientos de residentes;Otros;;;56622;Número;
2000;Nacimientos de hombres residentes;Otros;;;29325;Número;
2000;Nacimientos de mujeres residentes;Otros;;;27297;Número;
2000;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;28065;Número;
2000;Defunciones de residentes hombres;Otros;;;19614;Número;
2000;Defunciones de residentes mujeres;Otros;;;18223;Número;
2000;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;30700;Número;
2000;Total esposos de matrimonios de distinto sexo residentes;Otros;;;29938;Número;
2000;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;27974;Número;
2000;Total esposas de matrimonios de distinto sexo residentes;Otros;;;29534;Número;
2000;Total defunciones de residentes;Otros;;;37837;Número;
2001;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2001;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2001;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2001;Total nacimientos de residentes;Otros;;;59724;Número;
2001;Nacimientos de hombres residentes;Otros;;;30702;Número;
2001;Nacimientos de mujeres residentes;Otros;;;29022;Número;
2001;Total defunciones de residentes;Otros;;;38529;Número;
2001;Defunciones de residentes hombres;Otros;;;20089;Número;
2001;Defunciones de residentes mujeres;Otros;;;18440;Número;
2001;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29930;Número;
2001;Total esposos de matrimonios de distinto sexo residentes;Otros;;;29142;Número;
2001;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;27194;Número;
2001;Total esposas de matrimonios de distinto sexo residentes;Otros;;;28701;Número;
2001;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27229;Número;
2002;Defunciones de residentes mujeres;Otros;;;19022;Número;
2002;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;30090;Número;
2002;Total esposos de matrimonios de distinto sexo residentes;Otros;;;29323;Número;
2002;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;27250;Número;
2002;Total esposas de matrimonios de distinto sexo residentes;Otros;;;28866;Número;
2002;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27244;Número;
2002;Matrimonios de residentes del mismo sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2002;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2002;Matrimonios entre hombres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
2002;Total nacimientos de residentes;Otros;;;63153;Número;
2002;Nacimientos de hombres residentes;Otros;;;32581;Número;
2002;Nacimientos de mujeres residentes;Otros;;;30572;Número;
2002;Total defunciones de residentes;Otros;;;39265;Número;
2002;Defunciones de residentes hombres;Otros;;;20243;Número;
2003;Defunciones de residentes mujeres;Otros;;;20309;Número;
2003;Matrimonios de residentes de distinto sexo que fijan su residencia en la Comunidad de Madrid;Otros;;;29787;Número;
2003;Total esposos de matrimonios de distinto sexo residentes;Otros;;;29321;Número;
2003;Esposos al primer  matrimonio de distinto sexo residentes;Otros;;;27066;Número;
2003;Total esposas de matrimonios de distinto sexo residentes;Otros;;;28840;Número;
2003;Esposas al primer matrimonio de distinto sexo residentes;Otros;;;27099;Número;
2003;Defunciones de residentes hombres;Otros;;;21115;Número;
2003;Matrimonios entre mujeres residentes que fijan su residencia en la Comunidad de Madrid;Otros;;;-;Número;
